City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,ostroleka,53.0862,21.5757,2.73,96,42,3.09,PL,1732683947
145,new norfolk,-42.7826,147.0587,17.73,97,100,0.71,AU,1732683949
146,hermanus,-34.4187,19.2345,14.33,75,74,6.89,ZA,1732683951
147,posto fiscal rolim de moura,-13.0833,-62.2667,22.11,98,86,1.27,BR,1732683952
148,camana,-16.6228,-72.7111,19.46,88,100,2.5,PE,1732683954
149,nuuk,64.1835,-51.7216,-7.66,73,14,8.75,GL,1732683956
150,vyaz'ma,55.2104,34.2951,-11.54,91,6,2.67,RU,1732683957
151,utrik,11.2278,169.8474,28.31,79,86,9.55,MH,1732683959
152,kievka,50.2619,71.5514,-7.83,81,4,2.34,KZ,1732683961
153,berbera,10.4396,45.0143,26.43,70,16,1.08,SO,1732683724
154,kailua-kona,19.6406,-155.9956,24.22,72,0,0.89,US,1732683853
155,wuyishan,28.0047,117.8114,13.36,37,7,3.96,CN,1732683966
156,bikenibeu village,1.3673,173.1241,29.98,74,20,5.14,KI,1732683967
157,mehdia daira de meghila,35.4306,1.7571,10.47,46,84,4.15,DZ,1732683969
158,vershino-darasunskiy,52.35,115.5167,-12.47,57,78,4.68,RU,1732683971
159,horsham,51.064,-0.3272,13.06,95,75,5.66,GB,1732683973
160,kodiak,57.79,-152.4072,-2.27,80,0,3.6,US,1732683975
161,flying fish cove,-10.4217,105.6791,28.75,74,74,4.15,CX,1732683977
162,melo,-32.3667,-54.1833,20.03,96,6,1.46,UY,1732683978
163,bonthe,7.5264,-12.505,25.07,85,11,0.52,SL,1732683980
164,yeppoon,-23.1333,150.7333,27.26,68,3,5.05,AU,1732683982
165,nar'yan-mar,67.6713,53.087,2.04,96,100,10.28,RU,1732683983
166,wailua homesteads,22.0669,-159.378,22.44,78,20,4.63,US,1732683985
167,opelousas,30.5335,-92.0815,11.06,100,18,0.0,US,1732683987
168,bubaque,11.2833,-15.8333,27.8,67,0,2.52,GW,1732683989
169,tolanaro,-25.0319,46.9987,28.04,69,20,8.23,MG,1732683990
170,san antonio,29.4241,-98.4936,13.44,74,0,2.06,US,1732683751
171,jalqani,12.4486,34.2186,21.54,22,1,4.74,SD,1732683994
172,darwin,-12.4611,130.8418,30.99,70,75,3.09,AU,1732683955
173,bontang,0.1333,117.5,28.6,76,84,2.86,ID,1732683949
174,were ilu,10.6,39.4333,14.14,54,56,1.18,ET,1732683999
175,ustka,54.5805,16.8619,6.46,90,100,6.08,PL,1732684000
176,sheringham,52.9408,1.2093,6.03,85,100,5.9,GB,1732684002
177,moranbah,-22.0016,148.0466,34.72,27,5,4.58,AU,1732684004
178,kununurra,-15.7667,128.7333,29.99,70,54,4.63,AU,1732684005
179,sanctuary point,-35.1114,150.629,27.53,51,100,2.66,AU,1732684007
180,dolores,-36.3132,-57.6792,16.54,96,6,2.02,AR,1732684009
181,yanchep,-31.55,115.6833,25.23,32,0,4.4,AU,1732684010
182,badger,64.8,-147.5333,-17.86,82,20,2.06,US,1732684012
183,filingue,14.3521,3.3168,19.17,27,67,4.24,NE,1732684014
184,gilgit,35.9221,74.3087,2.11,34,0,2.81,PK,1732684015
185,northam,51.0333,-4.2167,5.9,96,100,7.78,GB,1732684017
186,sao joao da barra,-21.6403,-41.0511,22.63,84,33,8.06,BR,1732684019
187,bambanglipuro,-7.95,110.2833,30.79,63,46,4.13,ID,1732684020
188,malanje,-9.5402,16.341,18.0,96,99,2.65,AO,1732684023
189,tangalle,6.024,80.7911,29.43,69,100,7.0,LK,1732684025
190,labrador city,52.9463,-66.9114,-4.05,94,100,3.6,CA,1732684027
191,uturoa,-16.7333,-151.4333,26.7,81,61,5.25,PF,1732684029
192,mil'kovo,55.6078,37.7956,-4.27,60,10,1.99,RU,1732684030
193,ilulissat,69.2167,-51.1,-10.99,67,100,4.63,GL,1732683893
194,ancud,-41.8697,-73.8203,11.61,72,4,2.45,CL,1732684034
195,tadine,-21.55,167.8833,24.38,88,100,5.6,NC,1732684035
196,nelson bay,-32.7167,152.15,26.67,60,83,8.94,AU,1732684037
197,geraldton,-28.7667,114.6,31.23,12,0,8.23,AU,1732684039
198,swakopmund,-22.6833,14.5333,12.77,83,10,1.34,NA,1732684041
199,chittaranjan,23.8667,86.8667,25.24,32,53,2.07,IN,1732683973
200,magadan,59.5667,150.8,-11.01,58,0,1.93,RU,1732684048
201,wenling,28.3669,121.36,14.54,42,4,1.06,CN,1732684050
202,sao gabriel da cachoeira,-0.1303,-67.0892,25.43,78,69,0.29,BR,1732684051
203,palanga,55.9175,21.0686,7.01,87,40,3.09,LT,1732684053
204,arteche,12.2645,125.4048,27.74,85,56,3.95,PH,1732684055
205,evergreen,39.6333,-105.3172,2.88,82,100,0.89,US,1732684057
206,carnarvon,-24.8667,113.6333,31.42,40,0,7.0,AU,1732684058
207,bardai,11.65,7.2333,14.16,40,64,4.61,NG,1732684060
